#	English	Russian
loading	LOADING	ЗАГРУЗКА
loading_text_1	USE HEADPHONE FOR THE<br>BEST EXPERIENCE	ИСПОЛЬЗУЙ НАУШНИКИ<br>ДЛЯ ЛУЧШЕГО ОПЫТА
loading_text_2	COMMENT YOUR<br>HIGH SCORES	ПИШИ В ОТЗЫВАХ<br>ЛУЧШИЕ ОЧКИ
settings	SETTINGS	НАСТРОЙКИ
authors_of_tracks	AUTHORS OF TRACKS	АВТОРЫ ТРЕКОВ
on	ON	ВКЛ
off	OFF	ВЫКЛ
music	MUSIC	МУЗЫКА
sound	SOUND	ЗВУКИ
english	ENGLISH	АНГЛИЙСКИЙ
russian	RUSSIAN	РУССКИЙ
language	LANGUAGE	ЯЗЫК
quality	QUALITY	КАЧЕСТВО
higth_quality	HIGH	ВЫСОКОЕ
medium_quality	MEDIUM	СТАНДАРТНОЕ
low_quality	LOW	НИЗКОЕ
skins	SKINS	СКИНЫ
notes	NOTES	НОТЫ
nots	NOTES	НОТ
play	PLAY	ИГРАТЬ
сlaim	CLAIM	ЗАБРАТЬ
agreement	AGREEMENT	СОГЛАШЕНИЕ
agree	AGREE	СОГЛАСЕН(НА)
remember_gift	REMEMBER FROM NEXT GIFT	НАПОМНИТЬ О ПОДАРКЕ
yes	YES	ДА
no	NO	НЕТ
menu	MENU	МЕНЮ
to_menu	MENU	В МЕНЮ
restart	RESTART	РЕСТАРТ
resume	RESUME	ПРОДОЛЖИТЬ
pause	PAUSE	ПАУЗА
select	SELECT	ВЫБРАТЬ
selected	SELECTED	ВЫБРАНО
noads_offer_title	NO ADS FOR 5 MINUTES	ОТКЛЮЧЕНИЕ РЕКЛАМЫ НА 5 МИН
plus_autorestart	+AUTORESTART	+АВТОРЕСТАРТ
noads_title	DISABLE ADS	ОТКЛЮЧИТЬ РЕКЛАМУ
noads_desc	+AUTORESTART FOREVER	+АВТОРЕСТАРТ НАВСЕГДА
activated	ACTIVATED	АКТИВНО
attemps	ATTEMPS	ПОПЫТКИ
beats	SCORE	ОЧКИ
all_score	ALL SCORE	ВСЕГО
porgress	BEST SCORE	ЛУЧШИЙ
skip	SKIP	ПРОПУСТИТЬ
cubbits	CUBE-BEATS	КУБ-БИТЫ
road	ROAD	ДОРОЖКИ
hard_difficulty	HARD	ТЯЖЕЛО
medium_difficulty	MEDIUM	НОРМ
easy_difficulty	EASY	ЛЕГКО
or	OR	ИЛИ
money_pack1	200 NOTES	200 НОТ
max_reward	MAX REWARD:	МАКС. НАГРАДА:
disable	DISABLE	ОТКЛЮЧИТЬ
